date,code,name,std_sell,std_sell_wc,std_buy,std_buy_wc,std_ratio,total_sell,total_buy
2026-07-10,8801,三井不動産,141700,10900,1256900,-4900,8.87,183100,2527800
2026-07-10,8802,三菱地所,182300,23900,384400,28400,2.11,206900,712700
2026-07-10,9020,東日本旅客鉄道,70100,11700,608200,-9700,8.68,94900,1038500
2026-07-10,9101,日本郵船,161600,12200,1267300,-112400,7.84,235500,1896300
2026-07-10,9104,商船三井,170800,17400,1483500,-68200,8.69,208500,2415100
2026-07-10,9501,東京電力ホールディングス,1476700,195500,61433400,-2790400,41.6,1780600,86713900
2026-07-10,9502,中部電力,162900,-40000,474500,10800,2.91,197200,752000
2026-07-10,9503,関西電力,40600,-17700,895000,-13300,22.04,98800,1601700
2026-07-10,9504,中国電力,20900,-7100,821000,-1400,39.28,137100,2122100
2026-07-10,9531,東京瓦斯,5300,-3600,87100,13600,16.43,17400,171800
2026-07-10,9603,エイチ・アイ・エス,91600,-12100,741200,1300,8.09,119400,1771300
2026-07-10,9605,東映,31800,-1800,6900,2600,0.22,37900,7400
2026-07-10,9684,スクウェア・エニックス・ホールディングス,88100,5700,194100,-18600,2.2,183200,335800
2026-07-10,9697,カプコン,69400,13100,505200,-76800,7.28,134400,1090500
2026-07-10,9983,ファーストリテイリング,183000,-51800,198500,148900,1.08,246300,286300
2026-07-10,9984,ソフトバンクグループ,3721000,1790600,23372000,-3125600,6.28,4864800,35061200
